Date,air conditioner
2004-01,5
2004-02,6
2004-03,11
2004-04,19
2004-05,36
2004-06,35
2004-07,38
2004-08,21
2004-09,14
2004-10,8
2004-11,6
2004-12,4
2005-01,5
2005-02,5
2005-03,8
2005-04,14
2005-05,22
2005-06,59
2005-07,48
2005-08,28
2005-09,13
2005-10,9
2005-11,6
2005-12,4
2006-01,5
2006-02,6
2006-03,8
2006-04,14
2006-05,28
2006-06,43
2006-07,57
2006-08,26
2006-09,10
2006-10,7
2006-11,5
2006-12,4
2007-01,5
2007-02,5
2007-03,9
2007-04,12
2007-05,29
2007-06,37
2007-07,33
2007-08,27
2007-09,13
2007-10,8
2007-11,5
2007-12,4
2008-01,4
2008-02,5
2008-03,7
2008-04,14
2008-05,22
2008-06,50
2008-07,29
2008-08,17
2008-09,10
2008-10,6
2008-11,4
2008-12,4
2009-01,4
2009-02,5
2009-03,7
2009-04,16
2009-05,23
2009-06,35
2009-07,31
2009-08,25
2009-09,12
2009-10,7
2009-11,5
2009-12,5
2010-01,5
2010-02,5
2010-03,7
2010-04,15
2010-05,29
2010-06,45
2010-07,49
2010-08,26
2010-09,13
2010-10,8
2010-11,5
2010-12,4
2011-01,4
2011-02,6
2011-03,9
2011-04,17
2011-05,32
2011-06,47
2011-07,59
2011-08,30
2011-09,16
2011-10,9
2011-11,6
2011-12,5
2012-01,5
2012-02,6
2012-03,13
2012-04,16
2012-05,35
2012-06,50
2012-07,58
2012-08,31
2012-09,17
2012-10,9
2012-11,6
2012-12,5
2013-01,5
2013-02,6
2013-03,8
2013-04,17
2013-05,36
2013-06,53
2013-07,55
2013-08,26
2013-09,18
2013-10,9
2013-11,7
2013-12,5
2014-01,6
2014-02,7
2014-03,9
2014-04,17
2014-05,39
2014-06,50
2014-07,50
2014-08,27
2014-09,20
2014-10,10
2014-11,7
2014-12,5
2015-01,6
2015-02,6
2015-03,12
2015-04,16
2015-05,37
2015-06,57
2015-07,51
2015-08,36
2015-09,22
2015-10,11
2015-11,7
2015-12,6
2016-01,7
2016-02,9
2016-03,13
2016-04,22
2016-05,44
2016-06,67
2016-07,63
2016-08,42
2016-09,21
2016-10,12
2016-11,8
2016-12,8
2017-01,8
2017-02,10
2017-03,14
2017-04,25
2017-05,42
2017-06,72
2017-07,63
2017-08,35
2017-09,27
2017-10,14
2017-11,9
2017-12,8
2018-01,8
2018-02,10
2018-03,12
2018-04,20
2018-05,60
2018-06,67
2018-07,78
2018-08,45
2018-09,25
2018-10,14
2018-11,9
2018-12,7
2019-01,8
2019-02,9
2019-03,14
2019-04,27
2019-05,46
2019-06,67
2019-07,82
2019-08,39
2019-09,23
2019-10,13
2019-11,9
2019-12,8
2020-01,9
2020-02,10
2020-03,14
2020-04,22
2020-05,59
2020-06,81
2020-07,92
2020-08,51
2020-09,28
2020-10,16
2020-11,11
2020-12,10
2021-01,9
2021-02,12
2021-03,18
2021-04,30
2021-05,55
2021-06,100
2021-07,63
2021-08,48
2021-09,26
2021-10,18
2021-11,13
2021-12,10
2022-01,10
2022-02,12
2022-03,17
2022-04,25
2022-05,57
2022-06,79
2022-07,77
2022-08,47
2022-09,30
2022-10,14
2022-11,10
2022-12,9
2023-01,9
2023-02,11
2023-03,13
2023-04,27
2023-05,40
2023-06,61
2023-07,76
2023-08,43
2023-09,23
2023-10,14
2023-11,10
2023-12,8
2024-01,9
2024-02,9
2024-03,13
2024-04,25
2024-05,43
2024-06,78
2024-07,67
2024-08,38
2024-09,21
2024-10,13
2024-11,10
2024-12,8
2025-01,9
2025-02,10
2025-03,15
2025-04,24
2025-05,32
